complaint_type,complaint_desc,borough,count
Animal-Abuse,Other (complaint details),BROOKLYN,258
Animal-Abuse,Other (complaint details),MANHATTAN,144
Animal-Abuse,Other (complaint details),QUEENS,197
Animal-Abuse,Other (complaint details),STATEN ISLAND,60
Animal-Abuse,Tortured,BRONX,101
Animal-Abuse,Tortured,BROOKLYN,136
Animal-Abuse,Tortured,MANHATTAN,85
Animal-Abuse,Tortured,QUEENS,93
Animal-Abuse,Tortured,STATEN ISLAND,25
Asbestos,Asbestos Complaint (B1),BRONX,38
Asbestos,Asbestos Complaint (B1),BROOKLYN,86
Asbestos,Asbestos Complaint (B1),MANHATTAN,102
Asbestos,Asbestos Complaint (B1),QUEENS,66
Asbestos,Asbestos Complaint (B1),STATEN ISLAND,12
BEST/Site Safety,Demolition - Unsafe,BRONX,4
BEST/Site Safety,Demolition - Unsafe,BROOKLYN,41
BEST/Site Safety,Demolition - Unsafe,MANHATTAN,12
BEST/Site Safety,Demolition - Unsafe,QUEENS,9
BEST/Site Safety,Demolition - Unsafe,STATEN ISLAND,3
BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),BRONX,2
BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),BROOKLYN,13
BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),MANHATTAN,20
BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),QUEENS,5
Beach/Pool/Sauna Complaint,Beach/Pool Water,BRONX,7
Beach/Pool/Sauna Complaint,Beach/Pool Water,BROOKLYN,5
Beach/Pool/Sauna Complaint,Beach/Pool Water,MANHATTAN,2
Beach/Pool/Sauna Complaint,Beach/Pool Water,QUEENS,6
Beach/Pool/Sauna Complaint,Beach/Pool Water,STATEN ISLAND,19
Beach/Pool/Sauna Complaint,Beach/Pool/Sauna Unpermitted,STATEN ISLAND,1
Beach/Pool/Sauna Complaint,Facility Maintenance,BRONX,2
Beach/Pool/Sauna Complaint,Facility Maintenance,BROOKLYN,5
Beach/Pool/Sauna Complaint,Facility Maintenance,MANHATTAN,3
Beach/Pool/Sauna Complaint,Facility Maintenance,QUEENS,5
Beach/Pool/Sauna Complaint,Facility Maintenance,STATEN ISLAND,4
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,BRONX,2
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,BROOKLYN,6
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,MANHATTAN,1
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,QUEENS,17
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,STATEN ISLAND,1
Bike Rack Condition,Bike Rack Repair,BRONX,10
Bike Rack Condition,Bike Rack Repair,BROOKLYN,26
Bike Rack Condition,Bike Rack Repair,MANHATTAN,25
Bike Rack Condition,Bike Rack Repair,QUEENS,8
Bike Rack Condition,Chained Bike,BROOKLYN,1
Blocked Driveway,No Access,BRONX,7768
Blocked Driveway,No Access,BROOKLYN,13195
Blocked Driveway,No Access,MANHATTAN,1421
Blocked Driveway,No Access,QUEENS,13162
Blocked Driveway,No Access,STATEN ISLAND,907
Blocked Driveway,No Access,Unspecified,8
Blocked Driveway,Partial Access,BRONX,1914
Blocked Driveway,Partial Access,BROOKLYN,3484
Blocked Driveway,Partial Access,MANHATTAN,357
Blocked Driveway,Partial Access,QUEENS,4512
Blocked Driveway,Partial Access,STATEN ISLAND,405
Blocked Driveway,Partial Access,Unspecified,2
Boilers,Boiler - Defective/Inoperative/No Permit,BRONX,151
Boilers,Boiler - Defective/Inoperative/No Permit,BROOKLYN,181
Boilers,Boiler - Defective/Inoperative/No Permit,MANHATTAN,200
Boilers,Boiler - Defective/Inoperative/No Permit,QUEENS,110
Boilers,Boiler - Defective/Inoperative/No Permit,STATEN ISLAND,6
Borough Office,Restroom Non-Complaince With Local Law 79/16,BRONX,2
Borough Office,Restroom Non-Complaince With Local Law 79/16,BROOKLYN,2
Borough Office,Restroom Non-Complaince With Local Law 79/16,MANHATTAN,4
Borough Office,Restroom Non-Complaince With Local Law 79/16,QUEENS,1
Borough Office,Restroom Non-Complaince With Local Law 79/16,STATEN ISLAND,1
Bottled Water,Color,MANHATTAN,1
Bottled Water,Color,QUEENS,1
Bottled Water,Illness/Injury,BROOKLYN,1
Bottled Water,Odor,BRONX,1
Bottled Water,Other (Explain Below),BRONX,3
Bottled Water,Other (Explain Below),BROOKLYN,3
Bottled Water,Other (Explain Below),QUEENS,1
Bottled Water,Sediment,QUEENS,1
Bridge Condition,Decorative Necklace Lighting,Unspecified,1
Bridge Condition,Dirt, Debris, Litter Complaint,Unspecified,24
Bridge Condition,Fallen Debris from Bridge,Unspecified,6
Bridge Condition,Fence,Unspecified,5
Bridge Condition,Graffiti - Bridge,BROOKLYN,1
Bridge Condition,Graffiti - Bridge,Unspecified,30
Bridge Condition,Guard Rail - Bridge,BROOKLYN,1
Bridge Condition,Guard Rail - Bridge,Unspecified,2
Bridge Condition,Pothole,Unspecified,21
Bridge Condition,Rough Pavement,Unspecified,12
Broken Parking Meter,Bent/Loose,BRONX,8
Broken Parking Meter,Bent/Loose,BROOKLYN,5
Broken Parking Meter,Bent/Loose,MANHATTAN,1
Broken Parking Meter,Bent/Loose,QUEENS,7
Broken Parking Meter,Bent/Loose,Unspecified,6
Broken Parking Meter,Coin or Card Did Not Register,BRONX,36
Broken Parking Meter,Coin or Card Did Not Register,BROOKLYN,100
Broken Parking Meter,Coin or Card Did Not Register,MANHATTAN,147
Broken Parking Meter,Coin or Card Did Not Register,QUEENS,134
Broken Parking Meter,Coin or Card Did Not Register,STATEN ISLAND,5
Broken Parking Meter,Coin or Card Did Not Register,Unspecified,112
Broken Parking Meter,Credit Card Stuck in Meter,BRONX,3
Broken Parking Meter,Credit Card Stuck in Meter,BROOKLYN,5
Broken Parking Meter,Credit Card Stuck in Meter,MANHATTAN,17
Broken Parking Meter,Credit Card Stuck in Meter,QUEENS,10
Broken Parking Meter,Credit Card Stuck in Meter,STATEN ISLAND,1
Broken Parking Meter,Credit Card Stuck in Meter,Unspecified,11
Broken Parking Meter,Graffiti,BRONX,4
Broken Parking Meter,Graffiti,BROOKLYN,2
Broken Parking Meter,Graffiti,QUEENS,2
Broken Parking Meter,Graffiti,Unspecified,2
Broken Parking Meter,Missing/Stump,BRONX,8
Broken Parking Meter,Missing/Stump,BROOKLYN,4
Broken Parking Meter,Missing/Stump,MANHATTAN,10
Broken Parking Meter,Missing/Stump,QUEENS,4
Broken Parking Meter,Missing/Stump,Unspecified,4
Broken Parking Meter,No Receipt,BRONX,56
Broken Parking Meter,No Receipt,BROOKLYN,83
Broken Parking Meter,No Receipt,MANHATTAN,220
Broken Parking Meter,No Receipt,QUEENS,119
Broken Parking Meter,No Receipt,STATEN ISLAND,3
Broken Parking Meter,No Receipt,Unspecified,96
Broken Parking Meter,Out of Order,BRONX,58
Broken Parking Meter,Out of Order,BROOKLYN,112
Broken Parking Meter,Out of Order,MANHATTAN,193
Broken Parking Meter,Out of Order,QUEENS,110
Broken Parking Meter,Out of Order,STATEN ISLAND,1
Broken Parking Meter,Out of Order,Unspecified,103
Broken Parking Meter,Parking Card Stuck in Meter,BRONX,1
Broken Parking Meter,Parking Card Stuck in Meter,BROOKLYN,1
Broken Parking Meter,Parking Card Stuck in Meter,MANHATTAN,4
Broken Parking Meter,Parking Card Stuck in Meter,QUEENS,3
Broken Parking Meter,Parking Card Stuck in Meter,Unspecified,2
Broken Parking Meter,Relocation of Parking Meter,BRONX,2
Broken Parking Meter,Relocation of Parking Meter,BROOKLYN,1
Broken Parking Meter,Relocation of Parking Meter,Unspecified,5
Broken Parking Meter,Timer Defect - Fast/Fail,BRONX,8
Broken Parking Meter,Timer Defect - Fast/Fail,BROOKLYN,12
Broken Parking Meter,Timer Defect - Fast/Fail,MANHATTAN,23
Broken Parking Meter,Timer Defect - Fast/Fail,QUEENS,14
Broken Parking Meter,Timer Defect - Fast/Fail,STATEN ISLAND,1
Broken Parking Meter,Timer Defect - Fast/Fail,Unspecified,19
Building Condition,Bikes in Buildings,BROOKLYN,2
Building Condition,Bikes in Buildings,MANHATTAN,2
Building Marshals office,Unlicensed/Illegal/Improper Work In Progress,QUEENS,1
Building/Use,Illegal Conversion Of Residential Building/Space,BRONX,580
Building/Use,Illegal Conversion Of Residential Building/Space,BROOKLYN,1381
Building/Use,Illegal Conversion Of Residential Building/Space,MANHATTAN,226
Building/Use,Illegal Conversion Of Residential Building/Space,QUEENS,2690
Building/Use,Illegal Conversion Of Residential Building/Space,STATEN ISLAND,291
Building/Use,Illegal. Commercial Use In Resident Zone,BRONX,186
Building/Use,Illegal. Commercial Use In Resident Zone,BROOKLYN,297
Building/Use,Illegal. Commercial Use In Resident Zone,MANHATTAN,73
Building/Use,Illegal. Commercial Use In Resident Zone,QUEENS,409
Building/Use,Illegal. Commercial Use In Resident Zone,STATEN ISLAND,57
Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,BRONX,59
Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,BROOKLYN,232
Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,MANHATTAN,92
Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,QUEENS,191
Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,STATEN ISLAND,24
Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,BRONX,23
Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,BROOKLYN,68
Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,MANHATTAN,29
Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,QUEENS,79
Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,STATEN ISLAND,15
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,BRONX,66
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,BROOKLYN,140
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,MANHATTAN,10
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,QUEENS,343
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,STATEN ISLAND,65
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,Unspecified,2
Bus Stop Shelter Complaint,Broken Glass,BRONX,18
Bus Stop Shelter Complaint,Broken Glass,BROOKLYN,27
Bus Stop Shelter Complaint,Broken Glass,MANHATTAN,28
Bus Stop Shelter Complaint,Broken Glass,QUEENS,28
Bus Stop Shelter Complaint,Broken Glass,STATEN ISLAND,6
Bus Stop Shelter Complaint,Damaged Bench,BROOKLYN,4
Bus Stop Shelter Complaint,Damaged Bench,MANHATTAN,2
Bus Stop Shelter Complaint,Damaged Bench,QUEENS,2
Bus Stop Shelter Complaint,Damaged Bench,STATEN ISLAND,3
Bus Stop Shelter Complaint,Damaged Leg or Pole Bent,BROOKLYN,1
Bus Stop Shelter Complaint,Damaged Leg or Pole Bent,MANHATTAN,1
Bus Stop Shelter Complaint,Damaged Leg or Pole Bent,QUEENS,3
Bus Stop Shelter Complaint,Damaged Other,BRONX,4
Bus Stop Shelter Complaint,Damaged Other,BROOKLYN,6
Bus Stop Shelter Complaint,Damaged Other,MANHATTAN,8
Bus Stop Shelter Complaint,Damaged Other,QUEENS,7
Bus Stop Shelter Complaint,Damaged Other,STATEN ISLAND,1
Bus Stop Shelter Complaint,Damaged or Missing Ad Box,BROOKLYN,3
Bus Stop Shelter Complaint,Damaged or Missing Ad Box,QUEENS,1
Bus Stop Shelter Complaint,Dirty/Graffiti,BRONX,14
Bus Stop Shelter Complaint,Dirty/Graffiti,BROOKLYN,38
Bus Stop Shelter Complaint,Dirty/Graffiti,MANHATTAN,38
Bus Stop Shelter Complaint,Dirty/Graffiti,QUEENS,25
Bus Stop Shelter Complaint,Dirty/Graffiti,STATEN ISLAND,8
Bus Stop Shelter Complaint,Lighting,BROOKLYN,3
Bus Stop Shelter Complaint,Lighting,MANHATTAN,1
Bus Stop Shelter Complaint,Lighting,QUEENS,9
Bus Stop Shelter Complaint,Sign Missing or Defective,BRONX,4
Bus Stop Shelter Complaint,Sign Missing or Defective,BROOKLYN,1
Bus Stop Shelter Complaint,Sign Missing or Defective,MANHATTAN,5
Bus Stop Shelter Complaint,Sign Missing or Defective,QUEENS,8
Bus Stop Shelter Complaint,Sign Missing or Defective,STATEN ISLAND,1
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,BRONX,7
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,BROOKLYN,18
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,MANHATTAN,4
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,QUEENS,9
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,STATEN ISLAND,5
Bus Stop Shelter Placement,Relocation of Bus Stop Shelter,BROOKLYN,2
Bus Stop Shelter Placement,Relocation of Bus Stop Shelter,MANHATTAN,3
Bus Stop Shelter Placement,Relocation of Bus Stop Shelter,QUEENS,2
COVID-19 Non-essential Construction,Construction,BRONX,295
COVID-19 Non-essential Construction,Construction,BROOKLYN,1716
COVID-19 Non-essential Construction,Construction,MANHATTAN,1473
COVID-19 Non-essential Construction,Construction,QUEENS,887
COVID-19 Non-essential Construction,Construction,STATEN ISLAND,170
COVID-19 Non-essential Construction,Construction,Unspecified,1
Calorie Labeling,Failure to Post Calorie Information,BROOKLYN,1
Collection Truck Noise,21 Collection Truck Noise,MANHATTAN,1
Construction Lead Dust,Coming into Apartment,BRONX,24
Construction Lead Dust,Coming into Apartment,BROOKLYN,34
Construction Lead Dust,Coming into Apartment,MANHATTAN,38
Construction Lead Dust,Coming into Apartment,QUEENS,10
Construction Lead Dust,Coming into Apartment,STATEN ISLAND,2
Construction Lead Dust,Common Areas and Apartment,BRONX,11
Construction Lead Dust,Common Areas and Apartment,BROOKLYN,43
Construction Lead Dust,Common Areas and Apartment,MANHATTAN,42
Construction Lead Dust,Common Areas and Apartment,QUEENS,12
Construction Lead Dust,Common Areas and Apartment,STATEN ISLAND,1
Construction Lead Dust,In Common Areas,BRONX,4
Construction Lead Dust,In Common Areas,BROOKLYN,29
Construction Lead Dust,In Common Areas,MANHATTAN,17
Construction Lead Dust,In Common Areas,QUEENS,3
Consumer Complaint,Amusement Ride,BRONX,2
Consumer Complaint,Amusement Ride,BROOKLYN,4
Consumer Complaint,Arcade,BRONX,2
Consumer Complaint,Auction House/Auctioneer,BRONX,1
Consumer Complaint,Auction House/Auctioneer,BROOKLYN,2
Consumer Complaint,Auction House/Auctioneer,QUEENS,2
Consumer Complaint,Bingo Hall,BRONX,1
Consumer Complaint,Bingo Hall,BROOKLYN,1
Consumer Complaint,Bodega/Deli/Supermarket,BRONX,786
Consumer Complaint,Bodega/Deli/Supermarket,BROOKLYN,870
Consumer Complaint,Bodega/Deli/Supermarket,MANHATTAN,562
Consumer Complaint,Bodega/Deli/Supermarket,QUEENS,780
Consumer Complaint,Bodega/Deli/Supermarket,STATEN ISLAND,80
Consumer Complaint,Bodega/Deli/Supermarket,Unspecified,1
Consumer Complaint,Booting Company,BRONX,1
Consumer Complaint,Booting Company,BROOKLYN,2
Consumer Complaint,Booting Company,MANHATTAN,1
Consumer Complaint,Booting Company,QUEENS,1
Consumer Complaint,Car Dealer - Used,BRONX,132
Consumer Complaint,Car Dealer - Used,BROOKLYN,108
Consumer Complaint,Car Dealer - Used,MANHATTAN,7
Consumer Complaint,Car Dealer - Used,QUEENS,159
Consumer Complaint,Car Dealer - Used,STATEN ISLAND,21
Consumer Complaint,Car Rental,BRONX,8
Consumer Complaint,Car Rental,BROOKLYN,16
Consumer Complaint,Car Rental,MANHATTAN,13
Consumer Complaint,Car Rental,QUEENS,23
Consumer Complaint,Car Rental,STATEN ISLAND,2
Consumer Complaint,Car Wash,BRONX,88
Consumer Complaint,Car Wash,BROOKLYN,46
Consumer Complaint,Car Wash,MANHATTAN,107
Consumer Complaint,Car Wash,QUEENS,40
Consumer Complaint,Car Wash,STATEN ISLAND,3
Consumer Complaint,Cell Phone Store,BRONX,21
Consumer Complaint,Cell Phone Store,BROOKLYN,21
Consumer Complaint,Cell Phone Store,MANHATTAN,20
Consumer Complaint,Cell Phone Store,QUEENS,28
Consumer Complaint,Cell Phone Store,STATEN ISLAND,3
Consumer Complaint,Debt Collection Agency,BRONX,2
Consumer Complaint,Debt Collection Agency,BROOKLYN,8
Consumer Complaint,Debt Collection Agency,MANHATTAN,8
Consumer Complaint,Debt Collection Agency,QUEENS,1
Consumer Complaint,Debt Collection Agency,STATEN ISLAND,1
Consumer Complaint,Debt Collection Agency,Unspecified,44
Consumer Complaint,Disabled Device Dealer,BROOKLYN,1
Consumer Complaint,Disabled Device Dealer,MANHATTAN,2
Consumer Complaint,Disabled Device Dealer,QUEENS,1
Consumer Complaint,Domestic Employee,BRONX,2
Consumer Complaint,Door to Door Sales,BRONX,1
Consumer Complaint,Door to Door Sales,BROOKLYN,4
Consumer Complaint,Door to Door Sales,MANHATTAN,1
Consumer Complaint,Door to Door Sales,QUEENS,4
Consumer Complaint,Dry Cleaner,BRONX,4
Consumer Complaint,Dry Cleaner,BROOKLYN,35
Consumer Complaint,Dry Cleaner,MANHATTAN,23
Consumer Complaint,Dry Cleaner,QUEENS,26
Consumer Complaint,Dry Cleaner,STATEN ISLAND,2
Consumer Complaint,Electronics Repair Store,BRONX,9
Consumer Complaint,Electronics Repair Store,BROOKLYN,14
Consumer Complaint,Electronics Repair Store,MANHATTAN,6
Consumer Complaint,Electronics Repair Store,QUEENS,23
Consumer Complaint,Electronics Repair Store,STATEN ISLAND,2
Consumer Complaint,Electronics Repair Store,Unspecified,6
Consumer Complaint,Electronics Store,BRONX,25
Consumer Complaint,Electronics Store,BROOKLYN,19
Consumer Complaint,Electronics Store,MANHATTAN,21
Consumer Complaint,Electronics Store,QUEENS,31
Consumer Complaint,Electronics Store,STATEN ISLAND,1
Consumer Complaint,Employment Agency,BRONX,15
Consumer Complaint,Employment Agency,BROOKLYN,10
Consumer Complaint,Employment Agency,MANHATTAN,17
Consumer Complaint,Employment Agency,QUEENS,49
Consumer Complaint,Employment Agency,STATEN ISLAND,3
Consumer Complaint,For-profit College,BRONX,2
Consumer Complaint,For-profit College,BROOKLYN,4
Consumer Complaint,For-profit College,MANHATTAN,18
Consumer Complaint,For-profit College,QUEENS,10
Consumer Complaint,Funeral Home,BRONX,20
Consumer Complaint,Funeral Home,BROOKLYN,5
Consumer Complaint,Funeral Home,MANHATTAN,4
Consumer Complaint,Funeral Home,QUEENS,1
Consumer Complaint,Funeral Home,STATEN ISLAND,1
Consumer Complaint,Furniture Store,BRONX,96
Consumer Complaint,Furniture Store,BROOKLYN,75
Consumer Complaint,Furniture Store,MANHATTAN,34
Consumer Complaint,Furniture Store,QUEENS,84
Consumer Complaint,Furniture Store,STATEN ISLAND,6
Consumer Complaint,Gaming Cafe,BRONX,1
Consumer Complaint,Gaming Cafe,MANHATTAN,6
Consumer Complaint,Garage/Parking Lot,BRONX,82
Consumer Complaint,Garage/Parking Lot,BROOKLYN,49
Consumer Complaint,Garage/Parking Lot,MANHATTAN,177
Consumer Complaint,Garage/Parking Lot,QUEENS,63
Consumer Complaint,Garage/Parking Lot,STATEN ISLAND,2
Consumer Complaint,Gas Station,BRONX,27
Consumer Complaint,Gas Station,BROOKLYN,43
Consumer Complaint,Gas Station,MANHATTAN,21
Consumer Complaint,Gas Station,QUEENS,41
Consumer Complaint,Gas Station,STATEN ISLAND,9
Consumer Complaint,Going Out of Business,BROOKLYN,1
Consumer Complaint,Going Out of Business,QUEENS,1
Consumer Complaint,Home Heating Oil Company,BRONX,2
Consumer Complaint,Home Heating Oil Company,BROOKLYN,3
Consumer Complaint,Home Heating Oil Company,MANHATTAN,1
Consumer Complaint,Home Heating Oil Company,QUEENS,6
Consumer Complaint,Home Improvement Contractor,BRONX,30
Consumer Complaint,Home Improvement Contractor,BROOKLYN,55
Consumer Complaint,Home Improvement Contractor,MANHATTAN,12
Consumer Complaint,Home Improvement Contractor,QUEENS,80
Consumer Complaint,Home Improvement Contractor,STATEN ISLAND,30
